latitude,longitude,date,currentlevel,B02,B03,B04,B08,B11,B12,NDVI,IOI,CMI,currentlevel_ft
10.73333,77.02917,2020-08-24,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.894330000000002
10.73333,77.02917,2020-11-29,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.847230000000001
10.73333,77.02917,2021-01-09,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.19103
11.02083,76.9425,2013-01-01,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.23954
11.13333,77.03333,2013-01-04,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2935
11.13333,77.03333,2013-11-04,15.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.60872
11.13333,77.03333,2014-05-14,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.277800000000006
11.13333,77.03333,2019-05-29,16.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.660050000000005
11.13333,77.03333,2019-08-29,16.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.98815
11.13333,77.03333,2019-11-29,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.99680000000001
11.13333,77.03333,2020-01-09,11.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.158030000000004
11.13333,77.03333,2020-08-24,12.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.16085
11.13333,77.03333,2020-11-29,13.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.80135
11.13333,77.03333,2021-01-09,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.91125
11.01806,77.12361,2013-01-01,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77315
11.01806,77.12361,2013-08-24,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0199300000000004
11.01806,77.12361,2014-05-14,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03563
11.01806,77.12361,2015-01-04,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72323
11.01806,77.12361,2015-05-14,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11695
11.01806,77.12361,2015-11-04,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88728
11.01806,77.12361,2016-11-04,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8744
11.01806,77.12361,2017-01-04,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.843
11.01806,77.12361,2017-08-24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.562
11.01806,77.12361,2018-11-16,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1654600000000004
11.01806,77.12361,2019-01-29,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44505
11.01806,77.12361,2019-05-29,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11695
11.01806,77.12361,2019-08-29,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9686
11.01806,77.12361,2019-11-29,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8045500000000003
11.01806,77.12361,2020-01-09,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46075
11.01806,77.12361,2020-08-24,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5934
11.01806,77.12361,2020-11-29,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39795
11.01806,77.12361,2021-01-09,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6405
10.94167,77.075,2018-01-21,10.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.40058
10.80833,76.95833,2013-11-04,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.66466
10.80833,76.95833,2014-01-04,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.02839
11.06944,77.00139,2013-01-04,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.841400000000004
11.06944,77.00139,2013-08-24,17.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84403
11.06944,77.00139,2013-11-04,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.61173
11.06944,77.00139,2014-01-04,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.79975
11.06944,77.00139,2014-05-14,22.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57713000000001
11.06944,77.00139,2014-08-24,21.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.81968
11.06944,77.00139,2014-11-04,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.10510000000001
11.06944,77.00139,2015-01-04,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.4332
11.06944,77.00139,2015-05-14,16.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.284850000000006
11.06944,77.00139,2015-08-24,16.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.317660000000004
11.06944,77.00139,2015-11-04,15.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.37905000000001
11.06944,77.00139,2016-05-14,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.44185
11.06944,77.00139,2016-08-24,19.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.92958
11.06944,77.00139,2016-11-04,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.79975
11.06944,77.00139,2017-01-04,21.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.70555
11.06944,77.00139,2017-05-14,24.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.89235000000001
11.06944,77.00139,2017-08-24,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.18905000000001
11.06944,77.00139,2017-11-04,17.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.941050000000004
11.06944,77.00139,2018-01-21,31.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.94067000000001
11.06944,77.00139,2018-06-29,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.79975
11.06944,77.00139,2018-08-29,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.28325000000001
11.06944,77.00139,2018-11-16,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4787
11.06944,77.00139,2019-01-26,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.69145
11.06944,77.00139,2019-05-29,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.76572
11.06944,77.00139,2019-08-29,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.18905000000001
11.06944,77.00139,2019-11-29,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.39475
11.06944,77.00139,2020-01-09,12.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.307790000000004
11.06944,77.00139,2020-08-24,18.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.17495
11.06944,77.00139,2020-11-29,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.496
11.06944,77.00139,2021-01-09,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.605900000000005
10.99667,76.81556,2013-01-01,13.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.49036
11.17528,77.05556,2013-01-04,15.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.62583
11.17528,77.05556,2013-05-14,29.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.59264
11.17528,77.05556,2013-08-24,32.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.56688
